Datum,close_price,open_price,high_price,low_price,rsi,mfi,tv,sma,williams,regrs,cci,is_in_time,time
31.03.2020 16:33:51,1.098000,1.096000,1.098000,1.096000,46.2,35.819609,1.000000,1.104286,-80.000000,0.833105,-86.002786,1.0,16.0
31.03.2020 17:16:35,1.100000,1.098000,1.100000,1.098000,49.5,35.786386,1.000000,1.103714,-70.000000,0.833105,-58.464849,0.0,17.0
31.03.2020 17:54:43,1.102000,1.100000,1.102000,1.100000,52.6,35.753129,1.000000,1.103143,-60.000000,0.709502,-29.215976,0.0,17.0
31.03.2020 18:45:41,1.098000,1.100000,1.100000,1.098000,46.4,28.581919,1.000000,1.102143,-80.000000,0.638938,-75.774971,0.0,18.0
31.03.2020 20:59:56,1.102000,1.100000,1.102000,1.100000,52.4,28.526348,1.000000,1.101286,-55.555556,0.413325,-29.680365,0.0,20.0
01.04.2020 09:06:30,1.098000,1.100000,1.100000,1.098000,46.8,28.548562,1.000000,1.100429,-75.000000,0.300534,-72.872949,1.0,9.0
01.04.2020 09:59:55,1.096000,1.098000,1.098000,1.096000,44.2,28.570810,1.000000,1.099571,-85.714286,0.228774,-99.813780,1.0,9.0
01.04.2020 10:21:23,1.094000,1.096000,1.096000,1.094000,41.7,28.593093,1.000000,1.098714,-100.000000,0.198029,-123.767798,1.0,10.0
01.04.2020 11:27:27,1.092000,1.094000,1.094000,1.092000,39.4,28.615411,1.000000,1.097857,-100.000000,0.208276,-149.075082,1.0,11.0
01.04.2020 22:07:26,1.096000,1.094000,1.096000,1.094000,46.0,35.757050,1.000000,1.097429,-60.000000,0.137091,-97.731239,0.0,22.0
02.04.2020 10:12:59,1.092000,1.094000,1.094000,1.092000,41.2,35.775675,1.000000,1.096857,-100.000000,0.189875,-132.062628,1.0,10.0
02.04.2020 14:09:56,1.090000,1.092000,1.092000,1.090000,39.0,35.794319,1.000000,1.096286,-100.000000,0.315334,-150.032196,1.0,14.0
02.04.2020 14:57:44,1.088000,1.090000,1.090000,1.088000,36.8,35.812983,1.000000,1.095714,-100.000000,0.519396,-166.157605,1.0,14.0
02.04.2020 15:14:50,1.086000,1.088000,1.088000,1.086000,34.8,35.831667,1.000000,1.095143,-100.000000,0.803455,-178.260870,1.0,15.0
